danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,popularity,track_name,track_artist,track_id
0.53,0.77,4,-6.633,0,0.0389,0.284,0.501,0.744,0.623,120.144,225696,False,2,No Regrets,James Reeder,6f2c4a9lNx8aowZJngv7cJ
0.565,0.73,1,-6.063,1,0.073,0.365,0.0,0.237,0.511,130.026,158093,False,2,Wild Life,James Reeder,3fTs52jsDzSuVLsifxNKO8
0.427,0.546,4,-8.727,1,0.0849,0.539,0.0152,0.368,0.435,78.345,167262,False,2,Fangs,James Reeder,6NPafqavrv0icaIHMQnXDy
0.421,0.531,7,-5.516,1,0.0262,0.706,0.000208,0.11,0.383,85.08,236832,False,2,Afterburner,James Reeder,3vGmhxveURgmlZStvo0uc1
0.537,0.804,8,-7.378,0,0.157,0.379,0.000489,0.323,0.543,139.95,239400,False,2,Hellfire Rising,James Reeder,4O2qRbfCHzMMgfbw9DBdGf
0.71,0.621,9,-7.879,0,0.0329,0.405,0.0019,0.103,0.546,125.985,194560,False,2,Hurricane,James Reeder,1Tu9d0uA2ipK3s8EddNfl9
0.419,0.821,11,-5.768,0,0.0431,0.0137,0.00365,0.127,0.343,80.031,195288,False,2,Trapdoor,James Reeder,5IR8f7pzaGn6k7TJ6A7bNk
0.565,0.624,1,-5.718,1,0.0351,0.00442,0.221,0.108,0.655,123.927,211043,False,2,Demon,James Reeder,6iz9ZfQ9YIHRXZMuT6vv3R
0.547,0.56,0,-7.187,1,0.051,0.551,0.179,0.137,0.354,169.878,182184,False,2,Rusty Barracuda,James Reeder,4oUd60VyrDAM26LKxNe3NG
0.533,0.785,5,-5.466,1,0.0481,0.591,0.0,0.162,0.521,89.826,120936,False,2,Night on Fire,James Reeder,4sCYHI5weMJM8STfL0yjUg
0.482,0.369,2,-7.637,0,0.0412,0.75,0.00653,0.105,0.246,74.396,206544,False,2,Kentucky Banshee,James Reeder,3R8geaRy40N54AklO7cAfY
0.589,0.659,2,-7.491,1,0.0516,0.104,0.00919,0.163,0.47,140.172,164208,False,2,The Devil in a Long Black Lincoln,James Reeder,5RKVavCDNqnh89DqiLSmJ3
0.573,0.816,0,-7.263,1,0.0419,0.00347,0.814,0.244,0.608,119.983,74064,False,2,Satania,James Reeder,5EWiFVuAMw0JxWSaaaVUmz
0.441,0.855,0,-5.049,1,0.0602,0.00012,0.00014,0.142,0.201,138.777,188960,False,13,Stupid Girl,Cold,51wsg9dzbJWbq16FVnt3tL
0.46,0.548,5,-8.914,1,0.035,0.185,0.0865,0.223,0.126,138.73,291147,False,5,Stupid Girl - Life So Long Mix,Cold,5DfAEpcoV9jlKAD3z8gf04
0.708,0.499,10,-10.249,1,0.0549,0.00461,0.0873,0.106,0.377,95.986,166520,True,14,Essence,TG,5BoLSxmENQsVzfHz97D0YN
0.67,0.933,11,-6.248,0,0.0674,0.0154,0.236,0.513,0.876,131.984,382933,False,14,Gravity's Rainbow - Soulwax Remix,Klaxons,2X2pntOfT48gNR8viwCDXe
0.888,0.568,1,-11.802,0,0.292,0.0241,0.0,0.134,0.572,140.03,183972,True,14,How You Do It,TG,4SCzzuAGBgUmE1nAlKRYYU
0.653,0.73,2,-10.229,0,0.0567,0.793,0.904,0.325,0.898,118.139,253893,False,3,Pa' Gozar,Gilles Peterson's Havana Cultura Band,6wxcC3IA2HPSOL5ROJWx9k
0.729,0.751,5,-8.231,1,0.0416,0.548,0.345,0.0804,0.824,116.063,214987,False,5,Arroz Con Pollo,Gilles Peterson's Havana Cultura Band,4Bpy9zHl40xqnDW8B0M3G7
0.717,0.949,5,-7.642,0,0.0625,0.186,0.716,0.158,0.881,125.001,365667,False,3,Roforofo Fight (feat. Mayra Caridad Valdés),Gilles Peterson's Havana Cultura Band,5vJoe1fT5T00rMdIf7KvPx
0.646,0.745,7,-6.919,1,0.153,0.103,0.0849,0.143,0.689,120.037,394253,False,2,"Ipacuba (feat. Danay Suárez, Francis Del Río, Vince Vella & Julio Padrón)",Gilles Peterson's Havana Cultura Band,3kkBUjYnja1xylMS6OwgSv
0.596,0.664,6,-8.661,1,0.258,0.28,0.000979,0.0727,0.661,125.907,272773,False,0,"La Revolución Del Cuerpo, Pt. 1 (feat. Ogguere, Danay Suárez & Obsesión)",Gilles Peterson's Havana Cultura Band,0WMgv9HgjjLqyrti5Z8thl
0.907,0.73,1,-11.24,0,0.0737,0.032,0.0103,0.0639,0.835,129.295,434507,False,0,"La Revolución Del Cuerpo, Pt. 2 (feat. Roberto Fonseca)",Gilles Peterson's Havana Cultura Band,3urq6EQ8Hp9ie32SI4F1H6
0.682,0.588,1,-8.829,1,0.0635,0.961,0.000147,0.0997,0.696,149.617,260733,False,6,Lágrimas De Soledad (No Existen Palabras) [feat. Danay Suárez],Gilles Peterson's Havana Cultura Band,1As7GM11DM4AGv1vJM3uy3
0.534,0.491,4,-9.524,0,0.0626,0.609,0.0366,0.0974,0.722,141.887,374280,False,3,Think Twice (feat. Danay Suarez & Obsesión),Gilles Peterson's Havana Cultura Band,6NipYC3Pf1dA0gdqZLU9tJ
0.769,0.921,5,-7.44,0,0.046,0.768,0.146,0.344,0.565,115.012,333147,False,0,Chekere Son (feat. Mayra Caridad Valdés),Gilles Peterson's Havana Cultura Band,0lIJqwx9KJRUVCQr5941Kg
0.712,0.579,10,-10.011,0,0.044,0.566,0.865,0.112,0.802,97.341,231160,False,0,Afrodisia,Gilles Peterson's Havana Cultura Band,7xCE3ylvLrnbDyt9RR4I13
0.682,0.686,5,-9.81,0,0.0321,0.711,0.864,0.0724,0.801,119.993,226960,False,0,Mami,Gilles Peterson's Havana Cultura Band,7mX9WX5DBWqXXsA5JmyM8D
0.422,0.389,2,-14.017,1,0.0403,0.725,0.867,0.471,0.199,128.898,286107,False,1,Rezando,Gilles Peterson's Havana Cultura Band,3E1tQEmGLsspBT97IBP1OE
0.456,0.706,6,-7.552,0,0.166,0.0783,0.0,0.0182,0.959,174.774,280707,False,1,La Revolución Del Cuerpo,Ogguere,4xgsx63mG3jHQFknFJfHe9
0.86,0.795,5,-4.32,1,0.126,0.113,0.0,0.29,0.522,106.021,203227,False,0,Listos 'Pa La Lucha,Free Hole Negro,1g9q2QyYWowuP461EF5ztt
0.824,0.618,10,-5.208,0,0.0707,0.162,0.148,0.139,0.702,90.004,319493,False,1,La Perla Del Son,Wichy de Vedado,6J236Mvl9DI2ZVxmRYc7Jt
0.798,0.853,7,-4.455,1,0.143,0.66,0.0,0.175,0.679,99.971,210947,False,0,Candao Cerrao,Yusa,6HBQTXfVEfMvvvJByK4FWU
0.774,0.859,4,-7.722,0,0.128,0.265,0.0038,0.597,0.63,145.22,254893,False,0,Acompáñanos,Kumar,0nLjX2rGfD18Bi0zj9i7JF
0.77,0.714,11,-5.625,1,0.522,0.44,0.0,0.0954,0.521,94.024,184253,False,1,Me Lastimas,Obsesión,0XamfFuOtoOh7Vq7FqXfPL
0.594,0.654,6,-5.664,0,0.126,0.354,0.0,0.263,0.538,78.656,207267,False,0,Individual,Danay Suárez,1rYEUM7siaPzEGkYUrAMr7
0.477,0.776,8,-5.628,1,0.399,0.334,0.0,0.286,0.795,78.342,388707,False,0,Pasa El Borrador,Los Aldeanos,0cdwPBAkmIzqvnI1vwBcmQ
0.72,0.829,1,-5.451,1,0.215,0.215,0.0,0.197,0.921,89.544,257107,False,0,Amor Internacional,Doble Filo,5Cmf9ycNF6r54jsxal1gTv
0.783,0.874,2,-5.213,1,0.128,0.0274,1.32e-06,0.091,0.938,170.137,218787,False,0,Por Un Milagro,Cubanito 20.02,1aUQJnJz8EENnlyNDxteXt
0.576,0.878,5,-5.433,0,0.359,0.195,0.0,0.3,0.702,104.562,257053,False,0,Sentimiento,Francis del Río,1rJinsgfHxY0PaQCKtrUln
0.658,0.656,5,-4.821,0,0.192,0.413,0.0,0.388,0.629,94.924,298093,False,0,Que Tú Te Crees (feat. Pepito),Doble Filo,2Jjljbb67kAymatVO6MvlH
0.548,0.869,9,-3.732,0,0.176,0.75,0.0,0.0615,0.82,96.784,228053,False,0,Puñalá,Descemer Bueno,2fV6SmTqjB6UyeRzh2AcLC
0.467,0.807,10,-4.208,1,0.422,0.254,0.0,0.19,0.457,169.339,242213,False,0,Spiritual Sin Egoísmo,Telmary,5cKsjL4TlwHjobfqGKcj5p
0.412,0.509,0,-10.743,1,0.0398,0.253,0.881,0.122,0.668,128.456,340573,False,0,La Jungla,Harold López-Nussa,3YEosi2PDnQeGqFF3XEB0D
0.564,0.811,10,-6.429,1,0.0371,0.00222,0.0,0.0929,0.574,112.517,271381,False,14,Hoy,Fiel A La Vega,2MIHvCNurgbrxe8xmjOgmd
0.541,0.556,9,-13.506,0,0.0505,0.477,0.413,0.185,0.48,112.138,158571,False,14,Bogeyman,Dan Griffith,2yybKwL3NUKWcdNfMBzgxy
0.892,0.673,9,-5.156,0,0.0497,0.492,0.0,0.0991,0.962,129.975,208000,False,4,Que Se Quede Contigo,Flor De Tabaco,3spwlmVEUxz7fwau8S38NQ
0.86,0.647,7,-4.981,0,0.0472,0.195,0.0,0.0687,0.954,139.954,237160,False,2,Beso A Beso,Flor De Tabaco,1xX9N76FfVv01kKUMzyfu8
0.844,0.676,2,-5.235,1,0.0419,0.379,0.0,0.0806,0.921,135.981,231800,False,3,Le Nacen Alas,Flor De Tabaco,3g61zsCEuzCTl8ZCpbf2sq
0.876,0.647,8,-4.953,1,0.0446,0.222,0.0,0.0777,0.962,138.026,219600,False,4,Todos Los Hombres Son Iguales,Flor De Tabaco,7CllLvmYyDfZzsssg18j28
0.87,0.595,2,-4.995,1,0.0365,0.109,0.0,0.192,0.873,133.981,216187,False,3,Cobarde,Flor De Tabaco,3TpIdkLmWTHcjDSUpfvPA1
0.774,0.604,5,-5.286,1,0.0358,0.122,0.0,0.23,0.903,139.996,238307,False,3,Tu Amor Es Mi Delirio,Flor De Tabaco,0rWNPIpbuEmktWri0lLcSb
0.849,0.604,0,-4.813,1,0.0432,0.364,0.0,0.107,0.947,132.963,231227,False,2,Amame Toda La Noche,Flor De Tabaco,1V05iFHI9mpMyH7x8bFed3
0.828,0.641,1,-4.345,0,0.0388,0.378,0.0,0.108,0.768,124.969,207587,False,2,Coraje,Flor De Tabaco,2l3jWVdoweGzkMmnUaagNs
0.948,0.641,2,-5.707,1,0.048,0.412,0.0,0.311,0.963,132.94,206880,False,2,"Te Amo Tanto, Tanto",Flor De Tabaco,7ACShaAcpRZn0mH5saz7Eh
0.841,0.773,0,-5.975,1,0.0463,0.0936,0.0,0.146,0.969,135.054,202067,False,1,Crazy For Your Love,Flor De Tabaco,2MuLKrfJdfNNReAy6ooe1F
